NAME;ISIN;LEI
ACCOR;FR0000120404;969500QZC2Q0TK11NV07
ADP;FR0010340141;969500PJMBSFHYC37989
AIR LIQUIDE;FR0000120073;969500MMPQVHK671GT54
ALSTOM;FR0010220475;96950032TUYMW11FB530
ALTEN;FR0000071946;969500Y7G9TY7Y24GN07
ARKEMA;FR0010313833;9695000EHMS84KKP2785
ATOS;FR0000051732;5493001EZOOA66PTBR68
AXA;FR0000120628;F5WCUMTUM4RKZ1MAIE39
BNP PARIBAS ACT.A;FR0000131104;R0MUWSFPU8MPRO8K5P83
BOLLORE;FR0000039299;969500LEKCHH6VV86P94
BOUYGUES;FR0000120503;969500MOCLNQFNZN0D63
BUREAU VERITAS;FR0006174348;969500TPU5T3HA5D1F11
CAPGEMINI;FR0000125338;96950077L0TN7BAROX36
CARREFOUR;FR0000120172;549300B8P6MUJ1YWTS08
CHRISTIAN DIOR;FR0000130403;969500WESYQMQ1F2C272
CREDIT AGRICOLE;FR0000045072;969500TJ5KRTCJQWXH05
DANONE;FR0000120644;969500KMUQ2B6CBAF162
EDENRED;FR0010908533;9695006LOD5B2D7Y0N70
EDF;FR0010242511;549300X3UK4GG3FNMO06
EIFFAGE;FR0000130452;969500OQXKE5WDM9M994
ELIS;FR0012435121;969500UX71LCE8MAY492
ENGIE;FR0010208488;LAXUQCHT4FH58LRZDY46
ESSILORLUXOTTICA;FR0000121667;549300M3VH1A3ER1TB49
EURAZEO;FR0000121121;969500C656AA39O94N60
FAURECIA;FR0000121147;969500F0VMZLK2IULV85
GECINA;FR0010040865;9695003E4MMA10IBTR26
GETLINK SE;FR0010533075;9695007ZEQ7M0OE74G82
HERMES INTL;FR0000052292;969500Y4IJGHJE2MTJ13
IPSEN;FR0010259150;549300M6SGDPB4Z94P11
KERING;FR0000121485;549300VGEJKB7SVUZR78
KLEPIERRE;FR0000121964;969500PB4U31KEFHZ621
L'OREAL;FR0000120321;529900JI1GG6F7RKVI53
LEGRAND;FR0010307819;969500XXRPGD7HCAFA90
LVMH;FR0000121014;IOG4E947OATN0KJYSD45
ORANGE;FR0000133308;969500MCOONR8990S771
ORPEA;FR0000184798;969500LHIH3NT7PK1V89
PERNOD RICARD;FR0000120693;52990097YFPX9J0H5D87
PUBLICIS GROUPE SA;FR0000130577;2138004KW8BV57III342
REMY COINTREAU;FR0000130395;5493004V6A3Z027YT216
RENAULT;FR0000131906;969500F7JLTX36OUI695
REXEL;FR0010451203;969500N6AVPA51648T62
S.E.B.;FR0000121709;969500WP61NBK098AC47
SAFRAN;FR0000073272;969500UIC89GT3UL7L24
SAINT GOBAIN;FR0000125007;NFONVGN05Z0FMN5PEC35
SANOFI;FR0000120578;549300E9PC51EN656011
SCHNEIDER ELECTRIC;FR0000121972;969500A1YF1XUYYXS284
SCOR SE;FR0010411983;96950056ULJ4JI7V3752
SOCIETE GENERALE;FR0000130809;O2RNE8IBXP4R0TD8PU41
SODEXO;FR0000121220;969500LCBOG12HXPYM84
SOPRA STERIA GROUP;FR0000050809;96950020QIOHAAK9V551
SPIE;FR0012757854;969500TJNS5GSFWJ8X85
TELEPERFORMANCE;FR0000051807;9695004GI61FHFFNRG61
THALES;FR0000121329;529900FNDVTQJOVVPZ19
TOTALENERGIES;FR0000120271;529900S21EQ1BO4ESM68
UBISOFT ENTERTAIN;FR0000054470;969500I7C8V1LBIMSM05
VEOLIA ENVIRON.;FR0000124141;969500LENY69X51OOT31
VINCI;FR0000125486;213800WFQ334R8UXUG83
VIVENDI SE;FR0000127771;969500FU4DRAEVJW7U54
WENDEL;FR0000121204;969500M98ZMIZYJD5O34
WORLDLINE;FR0011981968;549300CJMQNCA0U4TS33
