LEI;SECTOR
549300M3VH1A3ER1TB49;HLTH
2138004KW8BV57III342;DSCR
96950077L0TN7BAROX36;TECH
52990097YFPX9J0H5D87;STPL
96950032TUYMW11FB530;PROD
549300CJMQNCA0U4TS33;TECH
969500Y4IJGHJE2MTJ13;N.A.
969500FU4DRAEVJW7U54;DSCR
O2RNE8IBXP4R0TD8PU41;FINA
5493001EZOOA66PTBR68;TECH
549300B8P6MUJ1YWTS08;STPL
969500A1YF1XUYYXS284;PROD
969500LENY69X51OOT31;UTIL
969500UX71LCE8MAY492;DSCR
969500TJ5KRTCJQWXH05;FINA
LAXUQCHT4FH58LRZDY46;UTIL
R0MUWSFPU8MPRO8K5P83;FINA
9695000EHMS84KKP2785;MATS
529900FNDVTQJOVVPZ19;PROD
IOG4E947OATN0KJYSD45;DSCR
969500QZC2Q0TK11NV07;DSCR
969500LCBOG12HXPYM84;PROD
NFONVGN05Z0FMN5PEC35;MATS
969500F7JLTX36OUI695;DSCR
969500UIC89GT3UL7L24;PROD
969500F0VMZLK2IULV85;DSCR
96950020QIOHAAK9V551;TECH
969500TJNS5GSFWJ8X85;PROD
549300X3UK4GG3FNMO06;UTIL
549300M6SGDPB4Z94P11;HLTH
969500WP61NBK098AC47;DSCR
969500OQXKE5WDM9M994;PROD
969500PB4U31KEFHZ621;FINA
96950056ULJ4JI7V3752;FINA
969500MCOONR8990S771;UTIL
969500TPU5T3HA5D1F11;PROD
969500N6AVPA51648T62;DSCR
969500LEKCHH6VV86P94;PROD
9695004GI61FHFFNRG61;DSCR
F5WCUMTUM4RKZ1MAIE39;FINA
969500PJMBSFHYC37989;PROD
9695006LOD5B2D7Y0N70;DSCR
969500WESYQMQ1F2C272;DSCR
969500M98ZMIZYJD5O34;PROD
549300VGEJKB7SVUZR78;DSCR
549300E9PC51EN656011;HLTH
5493004V6A3Z027YT216;STPL
969500MMPQVHK671GT54;MATS
9695003E4MMA10IBTR26;FINA
969500I7C8V1LBIMSM05;TECH
529900JI1GG6F7RKVI53;DSCR
969500XXRPGD7HCAFA90;PROD
969500LHIH3NT7PK1V89;HLTH
969500MOCLNQFNZN0D63;PROD
213800WFQ334R8UXUG83;PROD
529900S21EQ1BO4ESM68;ENER
969500KMUQ2B6CBAF162;STPL
969500C656AA39O94N60;FINA
9695007ZEQ7M0OE74G82;PROD
969500Y7G9TY7Y24GN07;TECH
